Country,ISIC_AB,ISIC_CE,ISIC_D,ISIC_F,ISIC_GH,ISIC_I,ISIC_JP,ISIC_C_E
Jamaica,.065642510487392,.1784313796202845,.1594618109447445,.2115899813576579,.2090616993098384,.0404914658206827,.3046200438641138,.018969569
Japan,.0454241385605975,.1455322497049596,.1917478468024962,.2162159024931313,.4074113859208067,.1019373000374242,.0834790232830865,-.046215598
Jordan,.0551622494692451,.0543705406324693,.0896985755012163,.1175605335226555,.5140654326449148,.0884252175994859,.184740777774797,-.035328034
Kazakhstan,,,,,,,,
Kenya,.272713469454838,.069892555694002,.0890002302123346,.1299838300187413,.3346378832646362,.0660323052532448,.1165797550016999,-.019107675
Kiribati,.1255772182400675,.033219860421127,0,.5576413464095607,.1577173416557247,.0415858636270251,.0903913906683923,.033219859
Kosovo,,,,,,,,
Kuwait,.001091810493724,.0077277174826832,.0459537077990749,.7920949372051517,.0772825184288369,.0080439164194333,.0246127656623249,-.03822599
Kyrgyzstan,,,,,,,,
Lao People's DR,.5065036435438876,.0442144473726749,.0343322041559656,.0696919508886392,.2446976324560405,.0408452411792713,.0867382498015286,.0098822434
Latvia,,,,,,,,
Lebanon,.029428018061648,.051371452141054,.073480275902131,.1069829206401311,.5694009392362253,.1138423253374607,.1424697489832849,-.022108823
Lesotho,.3853142894754554,.0209603927727203,.0429981298565135,.0551916501006365,.4071931834042024,.0347230680750146,.0685979277188089,-.022037737
Liberia,.3031382985396592,.0585798209440766,.0495762099943234,.2885174280619633,.1063850103315232,.1315024905931104,.1118769529935638,.0090036113
Libya,.0123712908567328,.0213162808774178,.0111365778816304,.9810081890598504,.0657643448180648,.0121530426909136,.0186190727058054,.010179703
Liechtenstein,.0254074337219076,.0718103284861312,.2345113240513889,.2687155938484358,.3670837268103218,.0882847104760223,.1786982074622537,-.162701
Lithuania,,,,,,,,
Luxembourg,.0329965276794608,.1236290078074477,.1850819005207263,.2514237834829985,.372071893606614,.0355751289139968,.1721653642053035,-.061452892
Madagascar,.260405342854009,.0088612638508278,.1707855833502952,.1758148257113119,.2436772977313657,.2025177095565353,.1209148226920974,-.16192432
Malawi,.4445914494573202,.0340676678513745,.133600885979676,.1361528569281843,.2121491311361794,.0572159522914384,.1236027941025495,-.099533215
Malaysia,.2344810615926278,.0368969240756056,.1112469625469966,.4068315132778108,.1902404927388506,.029049017296942,.1025009910368366,-.074350037
Maldives,.2755283974459512,.029505589973414,.039131164811815,.0455285205089137,.3599654825397529,.0671283700314957,.2812388230687425,-.0096255746
Mali,.4760721885450763,.0335060196196953,.1082929522355821,.129094812630819,.1834546199447474,.0359849162553386,.1428069397732973,-.074786931
Malta,.0711569510893616,.1335510755710775,.1886065995588123,.2069557497836969,.2504201331496826,.0617754720622622,.2761406161135038,-.055055525
Marshall Islands,.0824709106634519,.1125090431556343,.0146050749601895,.0108834631471371,.5467139481728741,-.0358345344231068,.2261309288852462,.097903967
Mauritania,.6357330608975889,.0182110608795405,.0364113571106866,.1977355309116052,.0590444654393576,.01163510854766,.0174864066959392,-.018200297
Mauritius,.2074840885697411,.0639202637987538,.1617489760020671,.1733092613591724,.3275754760839529,.0748663341348171,.1588631289572786,-.097828709
Mexico,.0587890394239871,.1079600324822893,.1635220081484712,.2577990104697388,.3461309476329244,.0410704963230323,.1907066096479269,-.055561975
Micronesia (FS of),.2460031481911494,.0360754253842187,.014899644845262,.0359614111245815,.4560346924262106,.0726077259393207,.1521050365959558,.021175781
Monaco,,.0633350156530208,.0577618863203639,.0577618863203639,.3589747606836368,.0867500938953389,.3823581164657988,.0055731293
Mongolia,.4305658730872114,.1388608962002921,.1052373111788079,.3691033131061086,.0354499855844574,.0369945241711886,.0302053085817889,.033623584
Montenegro,,,,,,,,
